test_case,model,version,timestamp,processing_time,reasoning_overall,reasoning_demographics,reasoning_psychological_characteristics,reasoning_behavioral_characteristics,reasoning_geographic_behavior,reasoning_skills_and_knowledge,reasoning_investigative_implications,reasoning_key_identifiers,reasoning_framework_narrative_action_system,reasoning_framework_sexual_behavioral_analysis,reasoning_framework_spatial_behavioral_analysis,reasoning_framework_sexual_homicide_pathways_analysis,reasoning_frameworks_total,avg_framework_confidence,framework_confidence_narrative_action_system,framework_confidence_sexual_behavioral_analysis,framework_confidence_spatial_behavioral_analysis,framework_confidence_sexual_homicide_pathways_analysis,framework_completeness_narrative_action_system,framework_completeness_sexual_behavioral_analysis,framework_completeness_spatial_behavioral_analysis,framework_completeness_sexual_homicide_pathways_analysis,framework_accuracy_narrative_action_system,framework_accuracy_spatial_behavioral_analysis,framework_accuracy_sexual_behavioral_analysis,framework_accuracy_sexual_homicide_pathways_analysis
ted-bundy-lake,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T15:53:15.637730,107.19915556907654,5,6,6,6,3,5,5,5,4,5,5,5,19,0.85,0.85,0.9,0.8,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ted-bundy-lake,Llama-3.3-70B-Instruct,latest,2025-03-14T15:54:19.460952,63.8114857673645,1,2,2,2,1,1,2,1,1,1,1,1,4,0.75,0.8,0.7,0.9,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mad-bomber,Llama-3.3-70B-Instruct,latest,2025-03-14T15:55:22.265811,215.73410177230835,3,2,2,2,2,2,2,2,2,0,2,0,4,0.75,0.8,0.0,0.7,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
ted-bundy-lake,DeepSeek-R1,latest,2025-03-14T15:56:22.516850,123.05339241027832,4,4,3,3,3,3,3,3,1,1,1,1,4,0.6625,0.7,0.65,0.7,0.6,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
mad-bomber,DeepSeek-R1,latest,2025-03-14T15:56:36.875724,74.60891199111938,4,3,3,3,3,3,3,3,2,0,2,2,6,0.7666666666666667,0.85,0.0,0.8,0.65,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ted-bundy-lake,Gemini-2.0-Flash,latest,2025-03-14T15:56:41.632913,19.115033864974976,6,6,6,6,3,5,5,5,1,1,1,1,4,0.625,0.6,0.5,0.8,0.6,1.0,1.0,0.8,0.8,1.0,1.0,0.0,0.0
ted-bundy-lake,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T15:56:53.966305,31.447455406188965,5,7,6,8,3,5,5,5,1,1,1,1,4,0.6749999999999999,0.6,0.7,0.7,0.7,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
mad-bomber,Gemini-2.0-Flash,latest,2025-03-14T15:56:54.950701,18.073978185653687,4,4,6,6,3,4,5,5,4,0,3,0,7,0.7,0.8,0.0,0.6,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0
mad-bomber,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T15:57:12.783226,35.90650248527527,5,6,6,6,3,5,5,5,1,0,1,0,2,0.8,0.9,0.0,0.7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
unabomber,o3-mini,latest,2025-03-14T15:57:53.509629,40.723788261413574,4,2,2,2,2,2,2,2,1,0,1,0,2,0.8500000000000001,0.8,0.0,0.9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,o3-mini,latest,2025-03-14T15:58:01.348459,48.5586154460907,3,3,2,2,2,2,2,2,1,1,1,1,4,0.7625,0.8,0.8,0.7,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
robert-napper-rachel-nickell,GPT-4.5-Preview,latest,2025-03-14T16:01:05.460672,232.6748321056366,1,3,2,2,2,1,1,2,1,1,1,1,4,0.8625,0.8,0.9,0.85,0.9,0.8,0.8,0.8,0.8,0.0,0.0,0.0,1.0
unabomber,GPT-4.5-Preview,latest,2025-03-14T16:01:11.128433,238.34259247779846,1,4,2,1,1,1,1,1,1,0,1,0,2,0.925,0.95,0.0,0.9,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,GPT-4o,latest,2025-03-14T16:02:16.902178,71.44019150733948,2,3,3,3,2,2,2,2,2,2,2,1,7,0.75,0.7,0.8,0.75,0.75,1.0,0.8,1.0,0.8,0.0,0.0,0.0,1.0
unabomber,GPT-4o,latest,2025-03-14T16:02:22.792630,71.66119766235352,2,6,6,6,3,3,5,5,1,0,1,0,2,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
unabomber,o3-mini-high,latest,2025-03-14T16:02:35.316993,84.18755960464478,4,3,2,2,2,2,2,2,1,0,1,0,2,0.85,0.85,0.0,0.85,0.0,1.0,0.0,0.8,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,o3-mini-high,latest,2025-03-14T16:02:47.695469,102.22978854179382,3,3,3,3,3,3,3,3,1,1,1,1,4,0.8,0.75,0.8,0.85,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
unabomber,GPT-4o-mini,latest,2025-03-14T16:03:05.518304,30.200526237487793,3,3,2,2,2,2,2,2,2,0,1,0,3,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,GPT-4o-mini,latest,2025-03-14T16:03:31.514048,43.81757616996765,3,4,3,3,2,3,3,2,2,2,2,2,8,0.8375,0.8,0.85,0.8,0.9,0.8,0.8,0.8,0.8,0.0,0.0,1.0,0.0
unabomber,Claude-3.7-Sonnet,latest,2025-03-14T16:04:13.090911,67.57167601585388,6,5,6,6,3,4,5,5,4,0,4,0,8,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
unabomber,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T16:04:35.782552,90.26316213607788,6,6,5,5,3,5,5,5,4,0,4,0,8,0.875,0.85,0.0,0.9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,Claude-3.7-Sonnet,latest,2025-03-14T16:04:38.877478,67.36343050003052,8,5,5,6,4,5,5,5,3,4,4,4,15,0.775,0.7,0.8,0.75,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T16:05:11.136143,99.62109422683716,7,6,6,6,4,6,6,5,4,5,5,5,19,0.8500000000000001,0.8,0.9,0.8,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Llama-3.3-70B-Instruct,latest,2025-03-14T16:07:58.165250,167.02810740470886,1,1,1,1,1,1,1,1,1,1,1,1,4,0.7,0.8,0.7,0.6,0.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
robert-napper-rachel-nickell,DeepSeek-R1,latest,2025-03-14T16:08:56.635343,58.469093799591064,3,4,3,3,2,2,2,2,2,2,2,2,8,0.7625,0.7,0.8,0.7,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Gemini-2.0-Flash,latest,2025-03-14T16:09:14.164352,17.527010202407837,5,6,5,5,3,5,5,5,2,2,2,1,7,0.7,0.6,0.7,0.8,0.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T16:09:23.780884,27.14453887939453,5,6,6,6,3,5,5,5,1,1,1,1,4,0.7875,0.6,0.85,0.9,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
unabomber,Llama-3.3-70B-Instruct,latest,2025-03-14T16:11:10.247020,394.46346831321716,2,2,2,2,2,2,2,2,2,0,2,2,6,0.8,0.8,0.0,0.9,0.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
unabomber,DeepSeek-R1,latest,2025-03-14T16:12:40.248768,90.00174808502197,5,3,3,3,3,3,3,3,3,0,3,2,8,0.8,0.85,0.0,0.9,0.65,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
unabomber,Gemini-2.0-Flash,latest,2025-03-14T16:12:56.575021,16.325253009796143,3,5,6,6,3,4,5,4,1,0,1,0,2,0.8,0.7,0.0,0.9,0.0,1.0,0.0,0.8,0.0,1.0,1.0,0.0,0.0
unabomber,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T16:13:05.073677,24.8249089717865,1,4,5,5,3,4,5,4,1,0,1,0,2,0.75,0.8,0.0,0.7,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ed-kemper,o3-mini,latest,2025-03-14T16:13:54.215938,49.13926339149475,3,3,2,2,2,2,2,2,1,0,1,1,3,0.8666666666666667,0.9,0.0,0.85,0.85,1.0,0.2,1.0,1.0,0.0,0.0,1.0,0.0
btk-otero,o3-mini,latest,2025-03-14T16:14:02.595371,57.51818871498108,3,2,2,2,2,2,2,2,1,1,1,1,4,0.7875,0.8,0.7,0.85,0.8,1.0,1.0,1.0,0.8,1.0,1.0,0.0,1.0
btk-otero,Gemma-3,latest,2025-03-14T16:14:09.938767,125.94840717315674,3,4,3,3,2,3,2,3,1,1,1,1,4,0.75,0.65,0.75,0.8,0.8,1.0,1.0,1.0,0.8,0.0,1.0,0.0,0.0
btk-otero,GPT-4.5-Preview,latest,2025-03-14T16:16:57.349513,232.27233386039734,1,3,3,3,3,2,2,2,1,1,1,1,4,0.9,0.9,0.9,0.9,0.9,1.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0
btk-otero,GPT-4o,latest,2025-03-14T16:18:45.544703,108.19419169425964,2,5,5,4,3,0,3,0,1,1,1,1,4,0.7625,0.8,0.7,0.75,0.8,0.8,1.0,0.8,0.8,1.0,0.0,1.0,1.0
btk-otero,o3-mini-high,latest,2025-03-14T16:18:54.099300,116.74878764152527,4,3,3,2,2,2,2,2,1,1,1,1,4,0.8375,0.85,0.8,0.85,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
btk-otero,GPT-4o-mini,latest,2025-03-14T16:19:27.680654,33.57928919792175,3,3,3,2,2,2,1,1,2,1,2,1,6,0.825,0.85,0.75,0.9,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.0,1.0
btk-otero,Claude-3.7-Sonnet,latest,2025-03-14T16:20:34.892325,67.2106728553772,7,6,6,6,3,5,5,5,1,1,1,1,4,0.75,0.75,0.8,0.7,0.75,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ed-kemper,GPT-4.5-Preview,latest,2025-03-14T16:21:09.927826,484.85214948654175,1,3,3,3,3,2,1,2,1,1,1,1,4,0.925,0.9,0.95,0.9,0.95,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0
ed-kemper,Gemma-3,latest,2025-03-14T16:21:21.180215,137.51280117034912,3,3,3,3,3,3,3,3,1,1,1,1,4,0.8375,0.7,0.85,0.9,0.9,1.0,0.8,0.8,0.8,1.0,1.0,0.0,0.0
btk-otero,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T16:21:21.180215,113.49905729293823,7,6,6,6,3,5,5,5,1,1,1,1,4,0.775,0.85,0.8,0.7,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ed-kemper,GPT-4o,latest,2025-03-14T16:22:09.782466,59.85313677787781,5,6,6,6,3,5,5,5,2,2,2,2,8,0.825,0.9,0.8,0.75,0.85,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
btk-otero,Llama-3.3-70B-Instruct,latest,2025-03-14T16:22:26.512851,65.33157587051392,2,2,2,2,2,2,2,2,1,1,1,1,4,0.75,0.8,0.7,0.9,0.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ed-kemper,o3-mini-high,latest,2025-03-14T16:22:46.696542,96.76621055603027,4,3,2,2,2,2,2,2,1,0,1,1,3,0.8833333333333333,0.9,0.0,0.85,0.9,1.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0
btk-otero,DeepSeek-R1,latest,2025-03-14T16:23:07.905636,41.391281843185425,5,4,3,3,3,3,3,3,2,2,2,2,8,0.775,0.85,0.8,0.7,0.75,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
btk-otero,Gemini-2.0-Flash,latest,2025-03-14T16:23:25.915175,18.0085391998291,5,5,6,6,3,5,5,5,2,2,2,1,7,0.6499999999999999,0.6,0.7,0.7,0.6,1.0,1.0,0.8,0.8,1.0,0.0,0.0,1.0
ed-kemper,GPT-4o-mini,latest,2025-03-14T16:23:29.032265,42.3346791267395,3,3,3,3,3,3,3,3,1,1,1,1,4,0.8875,0.9,0.85,0.9,0.9,0.8,0.8,0.8,0.8,0.0,1.0,0.0,0.0
btk-otero,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T16:23:44.756686,36.85104990005493,5,6,6,6,3,5,5,5,1,1,1,1,4,0.7,0.7,0.8,0.6,0.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ed-kemper,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T16:25:38.362656,129.32938861846924,7,6,6,6,3,5,5,5,1,4,4,4,13,0.85,0.85,0.9,0.8,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ed-kemper,Claude-3.7-Sonnet,latest,2025-03-14T16:26:31.116566,182.08329510688782,7,5,6,6,4,5,5,5,5,5,5,5,20,0.85,0.85,0.9,0.8,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ed-kemper,Llama-3.3-70B-Instruct,latest,2025-03-14T16:27:29.523093,58.40402173995972,3,3,3,3,2,2,2,2,2,2,2,2,8,0.825,0.8,0.7,0.9,0.9,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0
ed-kemper,DeepSeek-R1,latest,2025-03-14T16:28:05.278311,35.75421857833862,5,4,4,4,4,4,4,4,3,2,3,3,11,0.7775,0.83,0.78,0.65,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ed-kemper,Gemini-2.0-Flash,latest,2025-03-14T16:28:23.731337,18.45194101333618,6,6,6,6,3,5,5,5,1,1,1,1,4,0.7625,0.7,0.8,0.8,0.75,0.8,0.8,0.8,0.8,1.0,0.0,0.0,0.0
ed-kemper,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T16:28:43.393302,38.11298990249634,3,6,6,6,3,5,5,5,1,1,1,1,4,0.775,0.7,0.8,0.7,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,Gemma-3,latest,2025-03-15T00:28:49.493743,73.22177267074585,3,3,3,3,2,2,2,2,1,1,1,1,4,0.7125,0.65,0.75,0.85,0.6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
ed-kemper,Gemma-3,latest,2025-03-15T00:29:07.907655,91.63511157035828,3,3,4,3,2,2,2,3,1,1,1,1,4,0.8625,0.85,0.8,0.9,0.9,1.0,0.6,1.0,0.8,0.0,1.0,0.0,0.0
unabomber,Gemma-3,latest,2025-03-15T00:29:27.055529,110.7825539112091,3,3,3,3,2,2,2,2,1,1,1,1,4,0.575,0.8,0.2,0.7,0.6,0.8,0.6,0.8,0.8,1.0,1.0,0.0,0.0
ted-bundy-lake,Gemma-3,latest,2025-03-15T00:30:13.895159,157.62355661392212,4,3,3,3,3,3,4,3,1,1,1,1,4,0.825,0.75,0.85,0.9,0.8,1.0,0.8,0.8,0.8,1.0,1.0,0.0,0.0
mad-bomber,Gemma-3,latest,2025-03-15T00:30:29.663984,173.3864688873291,6,4,3,3,2,3,2,3,1,1,1,1,4,0.825,0.9,0.75,0.8,0.85,0.8,0.8,0.8,0.8,1.0,0.0,0.0,0.0
robert-napper-rachel-nickell,Gemma-3,latest,2025-03-15T00:31:08.396670,212.12369847297668,4,3,3,3,1,1,1,1,1,1,1,1,4,0.775,0.75,0.8,0.7,0.85,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
mad-bomber,o3-mini,latest,2025-03-14T18:26:36.075963,31.512498140335083,4,3,3,3,2,3,3,3,1,0,1,0,2,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
ted-bundy-lake,o3-mini,latest,2025-03-14T18:26:49.635986,45.07831072807312,5,3,3,2,2,2,2,2,1,1,1,1,4,0.7625,0.8,0.75,0.7,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ted-bundy-lake,GPT-4.5-Preview,latest,2025-03-14T18:29:39.570582,215.01290726661682,1,1,1,1,1,1,1,1,1,1,1,1,4,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.0,1.0,1.0,1.0
ted-bundy-lake,o3-mini-high,latest,2025-03-14T18:31:18.689066,99.11420941352844,3,3,3,3,3,3,3,3,1,1,1,1,4,0.85,0.9,0.85,0.85,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ted-bundy-lake,GPT-4o,latest,2025-03-14T18:31:44.823957,125.24620413780212,3,6,6,6,3,5,5,5,2,2,2,2,8,0.8125,0.85,0.7,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mad-bomber,GPT-4.5-Preview,latest,2025-03-14T18:33:23.344913,438.7712013721466,1,3,3,2,2,2,2,2,1,0,1,0,2,0.925,0.95,0.0,0.9,0.0,0.8,0.0,0.8,0.0,1.0,0.0,0.0,0.0
ted-bundy-lake,GPT-4o-mini,latest,2025-03-14T18:33:29.795557,104.97059488296509,4,2,2,2,2,2,2,2,1,1,1,1,4,0.8500000000000001,0.8,0.8,0.9,0.9,1.0,0.8,0.8,0.8,1.0,0.0,1.0,1.0
mad-bomber,GPT-4o,latest,2025-03-14T18:34:40.535081,77.19016766548157,5,4,3,3,2,2,2,2,1,0,1,1,3,0.85,0.9,0.0,0.85,0.8,1.0,0.0,0.8,0.8,1.0,0.0,0.0,0.0
ted-bundy-lake,Claude-3.7-Sonnet,latest,2025-03-14T18:34:45.248258,75.45170187950134,6,6,6,6,3,5,5,5,4,4,0,4,12,0.85,0.85,0.8,0.9,0.85,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0
mad-bomber,o3-mini-high,latest,2025-03-14T18:34:47.950100,84.6051869392395,4,4,3,3,3,3,3,3,1,0,1,0,2,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
mad-bomber,GPT-4o-mini,latest,2025-03-14T18:35:17.249311,29.29921054840088,3,3,2,2,2,2,2,2,1,0,1,0,2,0.875,0.85,0.0,0.9,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
ted-bundy-lake,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T18:35:31.236735,121.44117784500122,7,6,6,6,3,5,5,5,4,4,4,4,16,0.775,0.8,0.85,0.7,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mad-bomber,Claude-3.7-Sonnet,latest,2025-03-14T18:36:34.943974,77.67903900146484,8,5,6,6,4,6,6,6,4,0,4,0,8,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
mad-bomber,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T18:37:12.485634,115.23632287979126,7,6,6,6,3,4,5,5,4,0,4,0,8,0.825,0.9,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
mad-bomber,Llama-3.3-70B-Instruct,latest,2025-03-14T18:37:40.638968,28.152333736419678,2,4,3,2,2,2,2,1,2,0,2,0,4,0.75,0.8,0.0,0.7,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
mad-bomber,DeepSeek-R1,latest,2025-03-14T18:38:48.042728,67.4024567604065,5,4,4,4,3,4,4,4,2,0,2,1,5,0.8166666666666667,0.9,0.0,0.85,0.7,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ted-bundy-lake,Llama-3.3-70B-Instruct,latest,2025-03-14T18:38:56.862321,205.625586271286,2,2,2,2,2,2,2,2,1,1,1,1,4,0.725,0.8,0.6,0.7,0.8,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
mad-bomber,Gemini-2.0-Flash,latest,2025-03-14T18:39:04.104509,16.06178045272827,4,6,6,5,3,4,3,4,2,0,1,0,3,0.7,0.8,0.0,0.6,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
mad-bomber,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T18:39:22.658033,34.615304470062256,1,6,6,6,3,5,5,5,1,1,1,1,4,0.775,0.85,0.7,0.8,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ted-bundy-lake,DeepSeek-R1,latest,2025-03-14T18:40:52.923005,116.0606837272644,4,3,3,3,2,3,3,3,2,2,2,2,8,0.6625,0.7,0.65,0.7,0.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ted-bundy-lake,Gemini-2.0-Flash,latest,2025-03-14T18:41:09.894216,16.971210956573486,4,5,6,6,3,5,5,4,1,2,1,1,5,0.55,0.6,0.5,0.7,0.4,0.8,0.8,0.8,0.8,0.0,1.0,1.0,1.0
ted-bundy-lake,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T18:41:22.031072,29.10806655883789,4,6,6,6,3,5,5,5,1,1,1,1,4,0.75,0.7,0.8,0.8,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
unabomber,o3-mini,latest,2025-03-14T18:41:59.659991,37.613293409347534,4,2,2,2,2,2,2,2,1,0,1,0,2,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,o3-mini,latest,2025-03-14T18:42:36.160176,74.11347889900208,5,2,2,2,2,2,2,2,1,1,1,1,4,0.775,0.8,0.8,0.7,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
robert-napper-rachel-nickell,GPT-4.5-Preview,latest,2025-03-14T18:44:29.943372,187.89667391777039,2,3,3,3,3,3,3,3,1,1,1,1,4,0.8625,0.8,0.9,0.85,0.9,1.0,0.8,0.8,0.8,0.0,0.0,0.0,1.0
